Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Total,Mean Sales,Medain Sales:,Std Dev
750-67-8428,Alex,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,01-05-2019,1:08:00 PM,Ewallet,522.83,4.761904762,26.1415,9.1,522.83,,,
226-31-3081,Giza,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,03-08-2019,10:29:00 AM,Cash,76.4,4.761904762,3.82,9.6,76.4,,,
631-41-3108,Alex,Yangon,Normal,Female,Home and lifestyle,46.33,7,16.2155,340.5255,03-03-2019,1:23:00 PM,Credit card,324.31,4.761904762,16.2155,7.4,324.31,,,
123-19-1176,Alex,Yangon,Member,Female,Health and beauty,58.22,8,23.288,489.048,1/27/2019,8:33:00 PM,Ewallet,465.76,4.761904762,23.288,8.4,465.76,,,
373-73-7910,Alex,Yangon,Member,Female,Sports and travel,86.31,7,30.2085,634.3785,02-08-2019,10:37:00 AM,Ewallet,604.17,4.761904762,30.2085,5.3,604.17,,,
699-14-3026,Giza,Naypyitaw,Member,Female,Electronic accessories,85.39,7,29.8865,627.6165,3/25/2019,6:30:00 PM,Ewallet,597.73,4.761904762,29.8865,4.1,597.73,,,
355-53-5943,Alex,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,433.692,2/25/2019,2:36:00 PM,Ewallet,413.04,4.761904762,20.652,5.8,413.04,,,
315-22-5665,Giza,Naypyitaw,Member,Female,Home and lifestyle,73.56,10,36.78,772.38,2/24/2019,11:38:00 AM,Ewallet,735.6,4.761904762,36.78,8,735.6,,,
665-32-9167,Alex,Yangon,Member,Female,Health and beauty,36.26,2,3.626,76.146,01-10-2019,5:15:00 PM,Credit card,72.52,4.761904762,3.626,7.2,72.52,,,
692-92-5582,Cairo,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,172.746,2/20/2019,1:27:00 PM,Credit card,164.52,4.761904762,8.226,5.9,164.52,,,
351-62-0822,Cairo,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,60.816,02-06-2019,6:07:00 PM,Ewallet,57.92,4.761904762,2.896,4.5,57.92,,,
529-56-3974,Cairo,Mandalay,Member,Female,Electronic accessories,25.51,4,5.102,107.142,03-09-2019,5:03:00 PM,Cash,102.04,4.761904762,5.102,6.8,102.04,,,
365-64-0515,Alex,Yangon,Member,Female,Electronic accessories,46.95,5,11.7375,246.4875,02-12-2019,10:25:00 AM,Ewallet,234.75,4.761904762,11.7375,7.1,234.75,,,
252-56-2699,Alex,Yangon,Member,Female,Food and beverages,43.19,10,21.595,453.495,02-07-2019,4:48:00 PM,Ewallet,431.9,4.761904762,21.595,8.2,431.9,,,
829-34-3910,Alex,Yangon,Member,Female,Health and beauty,71.38,10,35.69,749.49,3/29/2019,7:21:00 PM,Cash,713.8,4.761904762,35.69,5.7,713.8,,,
299-46-1805,Cairo,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,1/15/2019,4:19:00 PM,Cash,562.32,4.761904762,28.116,4.5,562.32,,,
656-95-9349,Alex,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,03-11-2019,11:03:00 AM,Credit card,482.51,4.761904762,24.1255,4.6,482.51,,,
765-26-6951,Alex,Yangon,Member,Female,Sports and travel,72.61,6,21.783,457.443,01-01-2019,10:39:00 AM,Credit card,435.66,4.761904762,21.783,6.9,435.66,,,
329-62-1586,Alex,Yangon,Member,Female,Food and beverages,54.67,3,8.2005,172.2105,1/21/2019,6:00:00 PM,Credit card,164.01,4.761904762,8.2005,8.6,164.01,,,
319-50-3348,Cairo,Mandalay,Member,Female,Home and lifestyle,40.3,2,4.03,84.63,03-11-2019,3:30:00 PM,Ewallet,80.6,4.761904762,4.03,4.4,80.6,,,
300-71-4605,Giza,Naypyitaw,Member,Female,Electronic accessories,86.04,5,21.51,451.71,2/25/2019,11:24:00 AM,Ewallet,430.2,4.761904762,21.51,4.8,430.2,,,
371-85-5789,Cairo,Mandalay,Member,Female,Health and beauty,87.98,3,13.197,277.137,03-05-2019,10:40:00 AM,Ewallet,263.94,4.761904762,13.197,5.1,263.94,,,
273-16-6619,Cairo,Mandalay,Member,Female,Home and lifestyle,33.2,2,3.32,69.72,3/15/2019,12:20:00 PM,Credit card,66.4,4.761904762,3.32,4.4,66.4,,,
636-48-8204,Alex,Yangon,Member,Female,Electronic accessories,34.56,5,8.64,181.44,2/17/2019,11:15:00 AM,Ewallet,172.8,4.761904762,8.64,9.9,172.8,,,
549-59-1358,Alex,Yangon,Member,Female,Sports and travel,88.63,3,13.2945,279.1845,03-02-2019,5:36:00 PM,Ewallet,265.89,4.761904762,13.2945,6,265.89,,,
227-03-5010,Alex,Yangon,Member,Female,Home and lifestyle,52.59,8,21.036,441.756,3/22/2019,7:20:00 PM,Credit card,420.72,4.761904762,21.036,8.5,420.72,,,
649-29-6775,Cairo,Mandalay,Member,Female,Fashion accessories,33.52,1,1.676,35.196,02-08-2019,3:31:00 PM,Cash,33.52,4.761904762,1.676,6.7,33.52,,,
189-17-4241,Alex,Yangon,Member,Female,Fashion accessories,87.67,2,8.767,184.107,03-10-2019,12:17:00 PM,Credit card,175.34,4.761904762,8.767,7.7,175.34,,,
145-94-9061,Cairo,Mandalay,Member,Female,Food and beverages,88.36,5,22.09,463.89,1/25/2019,7:48:00 PM,Cash,441.8,4.761904762,22.09,9.6,441.8,,,
848-62-7243,Alex,Yangon,Member,Female,Health and beauty,24.89,9,11.2005,235.2105,3/15/2019,3:36:00 PM,Cash,224.01,4.761904762,11.2005,7.4,224.01,,,
871-79-8483,Cairo,Mandalay,Member,Female,Fashion accessories,94.13,5,23.5325,494.1825,2/25/2019,7:39:00 PM,Credit card,470.65,4.761904762,23.5325,4.8,470.65,,,
149-71-6266,Cairo,Mandalay,Member,Female,Sports and travel,78.07,9,35.1315,737.7615,1/28/2019,12:43:00 PM,Cash,702.63,4.761904762,35.1315,4.5,702.63,,,
640-49-2076,Cairo,Mandalay,Member,Female,Sports and travel,83.78,8,33.512,703.752,01-10-2019,2:49:00 PM,Cash,670.24,4.761904762,33.512,5.1,670.24,,,
595-11-5460,Alex,Yangon,Member,Female,Health and beauty,96.58,2,9.658,202.818,3/15/2019,10:12:00 AM,Credit card,193.16,4.761904762,9.658,5.1,193.16,,,
183-56-6882,Giza,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.884,417.564,02-06-2019,10:42:00 AM,Ewallet,397.68,4.761904762,19.884,7.5,397.68,,,
232-16-2483,Giza,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.406,71.526,01-07-2019,12:28:00 PM,Ewallet,68.12,4.761904762,3.406,6.8,68.12,,,
129-29-8530,Alex,Yangon,Member,Female,Sports and travel,62.62,5,15.655,328.755,03-10-2019,7:15:00 PM,Ewallet,313.1,4.761904762,15.655,7,313.1,,,
272-65-1806,Alex,Yangon,Member,Female,Electronic accessories,60.88,9,27.396,575.316,1/15/2019,5:17:00 PM,Ewallet,547.92,4.761904762,27.396,4.7,547.92,,,
333-73-7901,Giza,Naypyitaw,Member,Female,Health and beauty,54.92,8,21.968,461.328,3/23/2019,1:24:00 PM,Ewallet,439.36,4.761904762,21.968,7.6,439.36,,,
777-82-7220,Cairo,Mandalay,Member,Female,Home and lifestyle,30.12,8,12.048,253.008,03-03-2019,1:01:00 PM,Cash,240.96,4.761904762,12.048,7.7,240.96,,,
280-35-5823,Cairo,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.336,91.056,1/17/2019,6:45:00 PM,Ewallet,86.72,4.761904762,4.336,7.9,86.72,,,
554-53-8700,Giza,Naypyitaw,Member,Female,Home and lifestyle,56.11,2,5.611,117.831,02-02-2019,10:11:00 AM,Cash,112.22,4.761904762,5.611,6.3,112.22,,,
354-25-5821,Cairo,Mandalay,Member,Female,Sports and travel,69.12,6,20.736,435.456,02-08-2019,1:03:00 PM,Cash,414.72,4.761904762,20.736,5.6,414.72,,,
228-96-1411,Giza,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,829.08,03-04-2019,8:39:00 PM,Cash,789.6,4.761904762,39.48,7.6,789.6,,,
617-15-4209,Giza,Naypyitaw,Member,Female,Health and beauty,15.37,2,1.537,32.277,3/16/2019,7:47:00 PM,Cash,30.74,4.761904762,1.537,7.2,30.74,,,
132-32-9879,Cairo,Mandalay,Member,Female,Electronic accessories,93.96,4,18.792,394.632,03-09-2019,6:00:00 PM,Cash,375.84,4.761904762,18.792,9.5,375.84,,,
370-41-7321,Cairo,Mandalay,Member,Female,Health and beauty,56.69,9,25.5105,535.7205,2/27/2019,5:24:00 PM,Credit card,510.21,4.761904762,25.5105,8.4,510.21,,,
727-46-3608,Cairo,Mandalay,Member,Female,Food and beverages,20.01,9,9.0045,189.0945,02-06-2019,3:47:00 PM,Ewallet,180.09,4.761904762,9.0045,4.1,180.09,,,
669-54-1719,Cairo,Mandalay,Member,Female,Electronic accessories,18.93,6,5.679,119.259,02-10-2019,12:45:00 PM,Credit card,113.58,4.761904762,5.679,8.1,113.58,,,
574-22-5561,Giza,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.315,867.615,3/19/2019,5:08:00 PM,Ewallet,826.3,4.761904762,41.315,7.9,826.3,,,
326-78-5178,Giza,Naypyitaw,Member,Female,Food and beverages,91.4,7,31.99,671.79,02-03-2019,10:19:00 AM,Cash,639.8,4.761904762,31.99,9.5,639.8,,,
162-48-8011,Alex,Yangon,Member,Female,Food and beverages,44.59,5,11.1475,234.0975,02-10-2019,3:10:00 PM,Cash,222.95,4.761904762,11.1475,8.5,222.95,,,
616-24-2851,Cairo,Mandalay,Member,Female,Fashion accessories,17.87,4,3.574,75.054,3/22/2019,2:42:00 PM,Ewallet,71.48,4.761904762,3.574,6.5,71.48,,,
778-71-5554,Giza,Naypyitaw,Member,Female,Fashion accessories,15.43,1,0.7715,16.2015,1/25/2019,3:46:00 PM,Credit card,15.43,4.761904762,0.7715,6.1,15.43,,,
242-55-6721,Cairo,Mandalay,Member,Female,Home and lifestyle,16.16,2,1.616,33.936,03-07-2019,11:49:00 AM,Ewallet,32.32,4.761904762,1.616,6.5,32.32,,,
399-46-5918,Giza,Naypyitaw,Member,Female,Electronic accessories,85.98,8,34.392,722.232,2/28/2019,7:01:00 PM,Cash,687.84,4.761904762,34.392,8.2,687.84,,,
106-35-6779,Alex,Yangon,Member,Female,Home and lifestyle,44.34,2,4.434,93.114,3/27/2019,11:26:00 AM,Cash,88.68,4.761904762,4.434,5.8,88.68,,,
635-40-6220,Alex,Yangon,Member,Female,Health and beauty,89.6,8,35.84,752.64,02-07-2019,11:28:00 AM,Ewallet,716.8,4.761904762,35.84,6.6,716.8,,,
817-48-8732,Alex,Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,1/20/2019,3:55:00 PM,Cash,723.5,4.761904762,36.175,5.4,723.5,,,
120-06-4233,Giza,Naypyitaw,Member,Female,Electronic accessories,30.61,6,9.183,192.843,03-12-2019,8:36:00 PM,Cash,183.66,4.761904762,9.183,9.3,183.66,,,
285-68-5083,Giza,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.711,77.931,2/15/2019,5:47:00 PM,Credit card,74.22,4.761904762,3.711,10,74.22,,,
803-83-5989,Giza,Naypyitaw,Member,Female,Home and lifestyle,55.73,6,16.719,351.099,2/24/2019,10:55:00 AM,Ewallet,334.38,4.761904762,16.719,7,334.38,,,
347-34-2234,Cairo,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,02-03-2019,1:40:00 PM,Ewallet,495.63,4.761904762,24.7815,10,495.63,,,
199-75-8169,Alex,Yangon,Member,Female,Sports and travel,15.81,10,7.905,166.005,03-06-2019,12:27:00 PM,Credit card,158.1,4.761904762,7.905,8.6,158.1,,,
853-23-2453,Cairo,Mandalay,Member,Female,Health and beauty,75.74,4,15.148,318.108,2/14/2019,2:35:00 PM,Cash,302.96,4.761904762,15.148,7.6,302.96,,,
877-22-3308,Alex,Yangon,Member,Female,Health and beauty,15.87,10,7.935,166.635,3/13/2019,4:40:00 PM,Cash,158.7,4.761904762,7.935,5.8,158.7,,,
838-78-4295,Giza,Naypyitaw,Member,Female,Health and beauty,33.47,2,3.347,70.287,02-10-2019,3:43:00 PM,Ewallet,66.94,4.761904762,3.347,6.7,66.94,,,
109-28-2512,Cairo,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,614.943,01-07-2019,3:01:00 PM,Ewallet,585.66,4.761904762,29.283,9.9,585.66,,,
232-11-3025,Alex,Yangon,Member,Female,Sports and travel,78.77,10,39.385,827.085,1/24/2019,10:04:00 AM,Cash,787.7,4.761904762,39.385,6.4,787.7,,,
382-03-4532,Alex,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,02-02-2019,6:50:00 PM,Cash,18.33,4.761904762,0.9165,4.3,18.33,,,
393-65-2792,Giza,Naypyitaw,Member,Female,Food and beverages,89.48,10,44.74,939.54,01-06-2019,12:46:00 PM,Credit card,894.8,4.761904762,44.74,9.6,894.8,,,
796-12-2025,Giza,Naypyitaw,Member,Female,Fashion accessories,62.12,10,31.06,652.26,02-11-2019,4:19:00 PM,Cash,621.2,4.761904762,31.06,5.9,621.2,,,
510-95-6347,Cairo,Mandalay,Member,Female,Food and beverages,48.52,3,7.278,152.838,03-05-2019,6:17:00 PM,Ewallet,145.56,4.761904762,7.278,4,145.56,,,
